31.133.0.124:2053#PL [235.79ms]
31.133.1.8:2053#PL [235.91ms]
45.12.131.34:443#PT [257.22ms]
5.182.39.57:443#PT [269.68ms]
45.12.131.34:8443#PT [277.54ms]
185.138.89.29:8443#PT [291.94ms]
31.129.22.199:8443#PT [309.57ms]
5.182.39.243:443#PT [1289.25ms]
185.39.30.18:2087#RO [247.8ms]
185.39.30.18:8443#RO [248.68ms]
38.180.205.71:443#RO [251.34ms]
176.97.76.48:8443#RO [254.63ms]
85.120.228.76:443#RO [255.26ms]
38.180.35.88:443#RO [257.63ms]
85.90.196.38:443#RO [257.73ms]
86.122.14.66:443#RO [259.52ms]
45.136.199.148:443#RO [270.01ms]
85.90.196.11:443#RO [291.84ms]
89.46.236.145:443#RS [244.98ms]
38.180.100.80:443#RS [246.6ms]
2.56.172.184:443#RS [251.18ms]
45.15.160.249:443#RS [267.18ms]
87.121.38.57:443#RS [291.72ms]
195.133.53.166:8443#RU [134.63ms]
46.29.162.166:443#RU [152.66ms]
109.71.242.243:8443#RU [196.85ms]
147.45.147.212:2053#RU [201.72ms]
147.45.147.212:8443#RU [202.05ms]
212.60.5.118:8443#RU [239.02ms]
83.147.255.67:8443#RU [241.85ms]
5.101.50.226:443#RU [246.47ms]
82.97.249.34:8443#RU [246.59ms]
158.255.6.5:8443#RU [246.73ms]
64.112.127.151:443#SE [208.02ms]
195.72.60.249:8443#SE [233.16ms]
79.141.175.246:443#SE [236.29ms]
37.252.8.202:443#SE [239.17ms]
62.182.194.151:443#SE [239.59ms]
62.182.196.202:8443#SE [240.04ms]
62.182.193.24:443#SE [240.43ms]
83.219.250.141:443#SE [240.78ms]
45.153.187.209:8443#SE [241.25ms]
65.20.115.191:8443#SE [242.3ms]
43.133.61.219:443#SG [83.72ms]
43.156.181.203:443#SG [85.52ms]
202.1.31.79:443#SG [169.9ms]
140.245.57.184:8443#SG [174.66ms]
77.93.90.231:443#SG [175.44ms]
194.233.68.198:8443#SG [190.46ms]
3.1.116.161:8443#SG [221.36ms]
8.219.232.55:443#SG [224.98ms]
3.1.116.161:2053#SG [236.88ms]
52.76.97.123:443#SG [238.77ms]
194.58.66.220:443#SI [282.33ms]
5.180.55.43:443#SK [269.52ms]
37.9.171.189:443#SK [284.07ms]
91.242.163.179:2053#SK [291.18ms]
5.35.103.185:8443#SK [293.03ms]
91.242.163.179:8443#SK [298.03ms]
45.154.24.89:443#TH [278.37ms]
45.91.134.91:2053#TH [280.98ms]
43.229.148.43:443#TH [285.43ms]
45.150.128.181:443#TH [291.68ms]
43.229.148.110:443#TH [293.45ms]
45.150.128.159:443#TH [294.85ms]
45.136.254.175:443#TH [309.77ms]
8.213.199.128:443#TH [414.71ms]
45.150.131.246:443#TH [1238.36ms]
195.16.74.73:443#TR [243.6ms]
94.131.123.74:443#TR [247.91ms]
103.83.87.219:8443#TR [256.22ms]
212.192.6.42:443#TR [258.18ms]
212.192.6.248:443#TR [259.8ms]
194.135.34.198:443#TR [261.93ms]
188.132.192.194:2053#TR [263.69ms]
193.124.45.102:2053#TR [266.96ms]
212.102.107.40:443#TR [268.45ms]
141.98.115.64:8443#TR [274.54ms]
103.137.63.227:8443#TW [166.86ms]
223.165.4.124:2053#TW [268.0ms]
185.248.184.201:2053#TW [330.99ms]
223.165.4.124:8443#TW [1277.83ms]
91.238.105.102:443#UA [254.98ms]
91.218.212.223:443#UA [261.3ms]
91.231.182.28:2083#UA [298.0ms]
91.231.182.28:2053#UA [298.72ms]
209.209.59.191:443#US [159.82ms]
64.186.244.35:443#US [161.49ms]
69.63.199.39:8443#US [161.9ms]
64.186.242.138:8443#US [163.13ms]
38.162.115.250:2053#US [164.79ms]
64.186.245.91:8443#US [164.98ms]
64.186.240.48:443#US [166.69ms]
154.17.3.247:8443#US [167.54ms]
64.186.242.147:8443#US [168.27ms]
69.63.194.155:443#US [168.34ms]
77.83.206.191:443#UZ [364.46ms]
68.64.176.135:443#Unknown [66.96ms]
38.180.196.40:8443#Unknown [356.48ms]
38.180.196.40:2053#Unknown [362.28ms]
156.38.157.171:2053#ZA [246.09ms]
102.209.117.68:443#ZA [257.07ms]
139.84.226.30:8443#ZA [1371.72ms]
